Timestamp;Parameter;Value;Group_ID;X;Y;Z
07-11-2013 14:17:00;Absorbance 210.00_nm;53.6661;;580000;255300;455.3
07-11-2013 14:18:00;Absorbance 210.00_nm;49.8014;;580000;255300;455.3
07-11-2013 14:19:00;Absorbance 210.00_nm;48.4699;;580000;255300;455.3
07-11-2013 14:20:00;Absorbance 210.00_nm;45.9765;;580000;255300;455.3
07-11-2013 14:21:00;Absorbance 210.00_nm;49.5482;;580000;255300;455.3
07-11-2013 14:22:00;Absorbance 210.00_nm;53.4684;;580000;255300;455.3
07-11-2013 14:23:00;Absorbance 210.00_nm;45.5549;;580000;255300;455.3
07-11-2013 14:24:00;Absorbance 210.00_nm;47.0448;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 210.00_nm;46.6897;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 210.00_nm;47.087;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 210.00_nm;50.3394;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 210.00_nm;48.9493;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 210.00_nm;48.1699;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 210.00_nm;48.0525;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 210.00_nm;49.0484;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 210.00_nm;47.7849;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 210.00_nm;47.9857;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 210.00_nm;48.3433;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 210.00_nm;49.466;;580000;255300;455.3
07-11-2013 14:10:00;Absorbance 212.50_nm;45.888;;580000;255300;455.3
07-11-2013 14:11:00;Absorbance 212.50_nm;45.9812;;580000;255300;455.3
07-11-2013 14:12:00;Absorbance 212.50_nm;50.9311;;580000;255300;455.3
07-11-2013 14:13:00;Absorbance 212.50_nm;47.7688;;580000;255300;455.3
07-11-2013 14:14:00;Absorbance 212.50_nm;55.1126;;580000;255300;455.3
07-11-2013 14:15:00;Absorbance 212.50_nm;51.7832;;580000;255300;455.3
07-11-2013 14:16:00;Absorbance 212.50_nm;50.9144;;580000;255300;455.3
07-11-2013 14:17:00;Absorbance 212.50_nm;52.5064;;580000;255300;455.3
07-11-2013 14:18:00;Absorbance 212.50_nm;48.6742;;580000;255300;455.3
07-11-2013 14:19:00;Absorbance 212.50_nm;47.3639;;580000;255300;455.3
07-11-2013 14:20:00;Absorbance 212.50_nm;44.897;;580000;255300;455.3
07-11-2013 14:21:00;Absorbance 212.50_nm;48.4884;;580000;255300;455.3
07-11-2013 14:22:00;Absorbance 212.50_nm;52.3419;;580000;255300;455.3
07-11-2013 14:23:00;Absorbance 212.50_nm;44.4024;;580000;255300;455.3
07-11-2013 14:24:00;Absorbance 212.50_nm;46.0516;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 212.50_nm;45.667;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 212.50_nm;46.0784;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 212.50_nm;49.1804;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 212.50_nm;47.8272;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 212.50_nm;47.0811;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 212.50_nm;46.9595;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 212.50_nm;47.9723;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 212.50_nm;46.7332;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 212.50_nm;46.9158;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 212.50_nm;47.3036;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 212.50_nm;48.3402;;580000;255300;455.3
07-11-2013 14:10:00;Absorbance 215.00_nm;45.0393;;580000;255300;455.3
07-11-2013 14:11:00;Absorbance 215.00_nm;45.0586;;580000;255300;455.3
07-11-2013 14:12:00;Absorbance 215.00_nm;50.0897;;580000;255300;455.3
07-11-2013 14:13:00;Absorbance 215.00_nm;46.8411;;580000;255300;455.3
07-11-2013 14:14:00;Absorbance 215.00_nm;54.1604;;580000;255300;455.3
07-11-2013 14:15:00;Absorbance 215.00_nm;50.7309;;580000;255300;455.3
07-11-2013 14:16:00;Absorbance 215.00_nm;49.7825;;580000;255300;455.3
07-11-2013 14:17:00;Absorbance 215.00_nm;51.3566;;580000;255300;455.3
07-11-2013 14:18:00;Absorbance 215.00_nm;47.5563;;580000;255300;455.3
07-11-2013 14:19:00;Absorbance 215.00_nm;46.2915;;580000;255300;455.3
07-11-2013 14:20:00;Absorbance 215.00_nm;43.8454;;580000;255300;455.3
07-11-2013 14:21:00;Absorbance 215.00_nm;47.4226;;580000;255300;455.3
07-11-2013 14:22:00;Absorbance 215.00_nm;51.1856;;580000;255300;455.3
07-11-2013 14:23:00;Absorbance 215.00_nm;43.3853;;580000;255300;455.3
07-11-2013 14:24:00;Absorbance 215.00_nm;45.0858;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 215.00_nm;44.6781;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 215.00_nm;45.011;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 215.00_nm;48.0936;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 215.00_nm;46.7259;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 215.00_nm;46.0359;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 215.00_nm;45.9118;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 215.00_nm;46.8604;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 215.00_nm;45.7058;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 215.00_nm;45.8498;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 215.00_nm;46.2352;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 215.00_nm;47.2446;;580000;255300;455.3
07-11-2013 14:10:00;Absorbance 217.50_nm;44.1839;;580000;255300;455.3
07-11-2013 14:11:00;Absorbance 217.50_nm;44.1332;;580000;255300;455.3
07-11-2013 14:12:00;Absorbance 217.50_nm;49.2502;;580000;255300;455.3
07-11-2013 14:13:00;Absorbance 217.50_nm;46.0481;;580000;255300;455.3
07-11-2013 14:14:00;Absorbance 217.50_nm;53.2852;;580000;255300;455.3
07-11-2013 14:15:00;Absorbance 217.50_nm;49.7386;;580000;255300;455.3
07-11-2013 14:16:00;Absorbance 217.50_nm;48.756;;580000;255300;455.3
07-11-2013 14:17:00;Absorbance 217.50_nm;50.3266;;580000;255300;455.3
07-11-2013 14:18:00;Absorbance 217.50_nm;46.4763;;580000;255300;455.3
07-11-2013 14:19:00;Absorbance 217.50_nm;45.3348;;580000;255300;455.3
07-11-2013 14:20:00;Absorbance 217.50_nm;42.8836;;580000;255300;455.3
07-11-2013 14:21:00;Absorbance 217.50_nm;46.4093;;580000;255300;455.3
07-11-2013 14:22:00;Absorbance 217.50_nm;50.1033;;580000;255300;455.3
07-11-2013 14:23:00;Absorbance 217.50_nm;42.4153;;580000;255300;455.3
07-11-2013 14:24:00;Absorbance 217.50_nm;44.1397;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 217.50_nm;43.6787;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 217.50_nm;44.0069;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 217.50_nm;47.134;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 217.50_nm;45.7308;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 217.50_nm;45.0036;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 217.50_nm;44.8176;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 217.50_nm;45.8083;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 217.50_nm;44.7522;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 217.50_nm;44.8465;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 217.50_nm;45.2156;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 217.50_nm;46.1935;;580000;255300;455.3
07-11-2013 14:10:00;Absorbance 220.00_nm;43.4048;;580000;255300;455.3
07-11-2013 14:11:00;Absorbance 220.00_nm;43.3468;;580000;255300;455.3
07-11-2013 14:12:00;Absorbance 220.00_nm;48.4148;;580000;255300;455.3
07-11-2013 14:13:00;Absorbance 220.00_nm;45.3306;;580000;255300;455.3
07-11-2013 14:14:00;Absorbance 220.00_nm;52.4421;;580000;255300;455.3
07-11-2013 14:15:00;Absorbance 220.00_nm;48.8083;;580000;255300;455.3
07-11-2013 14:16:00;Absorbance 220.00_nm;47.8605;;580000;255300;455.3
07-11-2013 14:17:00;Absorbance 220.00_nm;49.4002;;580000;255300;455.3
07-11-2013 14:18:00;Absorbance 220.00_nm;45.4489;;580000;255300;455.3
07-11-2013 14:19:00;Absorbance 220.00_nm;44.4535;;580000;255300;455.3
07-11-2013 14:20:00;Absorbance 220.00_nm;42.0317;;580000;255300;455.3
07-11-2013 14:21:00;Absorbance 220.00_nm;45.4681;;580000;255300;455.3
07-11-2013 14:22:00;Absorbance 220.00_nm;49.1304;;580000;255300;455.3
07-11-2013 14:23:00;Absorbance 220.00_nm;41.4855;;580000;255300;455.3
07-11-2013 14:24:00;Absorbance 220.00_nm;43.2159;;580000;255300;455.3
07-11-2013 14:25:00;Absorbance 220.00_nm;42.8237;;580000;255300;455.3
07-11-2013 14:26:00;Absorbance 220.00_nm;43.1472;;580000;255300;455.3
07-11-2013 14:27:00;Absorbance 220.00_nm;46.226;;580000;255300;455.3
07-11-2013 14:28:00;Absorbance 220.00_nm;44.816;;580000;255300;455.3
07-11-2013 14:29:00;Absorbance 220.00_nm;44.0744;;580000;255300;455.3
07-11-2013 14:30:00;Absorbance 220.00_nm;43.8423;;580000;255300;455.3
07-11-2013 14:31:00;Absorbance 220.00_nm;44.8455;;580000;255300;455.3
07-11-2013 14:32:00;Absorbance 220.00_nm;43.8663;;580000;255300;455.3
07-11-2013 14:33:00;Absorbance 220.00_nm;43.8657;;580000;255300;455.3
07-11-2013 14:34:00;Absorbance 220.00_nm;44.3302;;580000;255300;455.3
07-11-2013 14:35:00;Absorbance 220.00_nm;45.2307;;580000;255300;455.3
